✗ Unknown ref: e4
[31803.353] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js (Script) 200
[31803.354] GET http://localhost:3000/_next/static/chunks/node_modules_d94de143._.js (Script) 200
[31803.355] GET http://localhost:3000/_next/static/chunks/src_2bc135c0._.js (Script) 200
[31803.356] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js (Script) 200
[31803.357] GET http://localhost:3000/_next/static/chunks/src_components_ui_8210349c._.js (Script) 200
[31803.358] GET http://localhost:3000/_next/static/chunks/src_components_layout_366872d1._.js (Script) 200
[31803.359] GET http://localhost:3000/_next/static/chunks/src_components_features_dashboard_dc047687._.js (Script) 200
[31803.360] GET http://localhost:3000/_next/static/chunks/src_components_features_attendance_AttendanceManager_tsx_90a108d1._.js (Script) 200
[31803.361] GET http://localhost:3000/_next/static/chunks/src_components_features_marks_MarksManager_tsx_e54dcb6e._.js (Script) 200
[31803.362] GET http://localhost:3000/_next/static/chunks/src_components_features_assignments_AssignmentManager_tsx_cb98831c._.js (Script) 200
[31803.363] GET http://localhost:3000/_next/static/chunks/src_components_features_leaves_LeaveManager_tsx_5cdf3058._.js (Script) 200
[31803.364] GET http://localhost:3000/_next/static/chunks/src_components_features_analytics_AnalyticsManager_tsx_374df678._.js (Script) 200
[31803.365] GET http://localhost:3000/_next/static/chunks/src_components_features_admin_d2be4df5._.js (Script) 200
[31803.366] GET http://localhost:3000/_next/static/chunks/src_components_features_settings_SettingsPage_tsx_e47e9e9e._.js (Script) 200
[31803.367] GET http://localhost:3000/_next/static/chunks/src_components_features_ce06b308._.js (Script) 200
[31803.368] GET http://localhost:3000/_next/static/chunks/src_components_shared_CommandPalette_tsx_8dc533db._.js (Script) 200
[31803.369] GET http://localhost:3000/_next/static/chunks/src_13575e04._.js (Script) 200
[31803.370] GET http://localhost:3000/_next/static/chunks/node_modules_framer-motion_dist_es_134bd0a7._.js (Script) 200
[31803.371] GET http://localhost:3000/_next/static/chunks/node_modules_motion-dom_dist_es_c5d9af39._.js (Script) 200
[31803.372] GET http://localhost:3000/_next/static/chunks/node_modules_axios_lib_abd7c0de._.js (Script) 200
[31803.373] GET http://localhost:3000/_next/static/chunks/node_modules_lucide-react_dist_esm_icons_f7c7cf1a._.js (Script) 200
[31803.374] GET http://localhost:3000/_next/static/chunks/node_modules_date-fns_3a62c682._.js (Script) 200
[31803.375] GET http://localhost:3000/_next/static/chunks/node_modules_lodash_0ce7be08._.js (Script) 200
[31803.376] GET http://localhost:3000/_next/static/chunks/node_modules_recharts_es6_7c3861d6._.js (Script) 200
[31803.377] GET http://localhost:3000/_next/static/chunks/node_modules_react-day-picker_dist_esm_2bc2ad0e._.js (Script) 200
[31803.378] GET http://localhost:3000/_next/static/chunks/node_modules_%40radix-ui_b7a8b3a6._.js (Script) 200
[31803.379] GET http://localhost:3000/_next/static/chunks/node_modules_%40floating-ui_1b6e7b6d._.js (Script) 200
[31803.380] GET http://localhost:3000/_next/static/chunks/node_modules_75e24554._.js (Script) 200
[31803.381] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_8533e121._.js (Script) 200
[31803.436] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js (Script) 200
[31803.437] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js (Script) 200
[31803.443] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 (Font) 200
[31803.445] GET http://localhost:3000/api/auth/me (XHR) 401
[31803.446] POST http://localhost:3000/api/auth/login (XHR) 200
[31803.447] GET http://localhost:3000/api/auth/me (XHR) 200
[31803.448] GET http://localhost:3000/api/notices?limit=1 (XHR) 200
[31803.449] GET http://localhost:3000/api/notices?limit=5 (XHR) 200
[31803.450] GET http://localhost:3000/api/dashboard/admin (XHR) 200
[2379CA0922DA2769D1A2725CE7ADA0A3] GET http://localhost:81/ (Document) 200
[31803.452] GET http://localhost:81/_next/static/media/797e433ab948586e-s.p.29207c2f.woff2 (Font) 200
[31803.453] GET http://localhost:81/_next/static/media/caa3a2e1cccd8315-s.p.3b6cae6d.woff2 (Font) 200
[31803.454] GET http://localhost:81/_next/static/chunks/%5Broot-of-the-server%5D__0f0ba101._.css (Stylesheet) 200
[31803.455] GET http://localhost:81/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js (Script) 200
[31803.456] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js (Script) 200
[31803.457] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js (Script) 200
[31803.458] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js (Script) 200
[31803.459] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js (Script) 200
[31803.460] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_client_17643121._.js (Script) 200
[31803.461] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_f3530cac._.js (Script) 200
[31803.462] GET http://localhost:81/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js (Script) 200
[31803.463] GET http://localhost:81/_next/static/chunks/_a0ff3932._.js (Script) 200
[31803.464] GET http://localhost:81/_next/static/chunks/turbopack-_23a915ee._.js (Script) 200
[31803.465] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_be32b49c._.js (Script) 200
[31803.466] GET http://localhost:81/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js (Script) 200
[31803.467] GET http://localhost:81/_next/static/chunks/node_modules_d94de143._.js (Script) 200
[31803.468] GET http://localhost:81/_next/static/chunks/src_2bc135c0._.js (Script) 200
[31803.469] GET http://localhost:81/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js (Script) 200
[31803.470] GET http://localhost:81/_next/static/chunks/src_components_ui_8210349c._.js (Script) 200
[31803.471] GET http://localhost:81/_next/static/chunks/src_components_layout_366872d1._.js (Script) 200
[31803.472] GET http://localhost:81/_next/static/chunks/src_components_features_dashboard_dc047687._.js (Script) 200
[31803.473] GET http://localhost:81/_next/static/chunks/src_components_features_attendance_AttendanceManager_tsx_90a108d1._.js (Script) 200
[31803.474] GET http://localhost:81/_next/static/chunks/src_components_features_marks_MarksManager_tsx_e54dcb6e._.js (Script) 200
[31803.475] GET http://localhost:81/_next/static/chunks/src_components_features_assignments_AssignmentManager_tsx_cb98831c._.js (Script) 200
[31803.476] GET http://localhost:81/_next/static/chunks/src_components_features_leaves_LeaveManager_tsx_5cdf3058._.js (Script) 200
[31803.477] GET http://localhost:81/_next/static/chunks/src_components_features_analytics_AnalyticsManager_tsx_374df678._.js (Script) 200
[31803.478] GET http://localhost:81/_next/static/chunks/src_components_features_admin_d2be4df5._.js (Script) 200
[31803.479] GET http://localhost:81/_next/static/chunks/src_components_features_settings_SettingsPage_tsx_e47e9e9e._.js (Script) 200
[31803.480] GET http://localhost:81/_next/static/chunks/src_components_features_ce06b308._.js (Script) 200
[31803.481] GET http://localhost:81/_next/static/chunks/src_components_shared_CommandPalette_tsx_8dc533db._.js (Script) 200
[31803.482] GET http://localhost:81/_next/static/chunks/src_13575e04._.js (Script) 200
[31803.483] GET http://localhost:81/_next/static/chunks/node_modules_framer-motion_dist_es_134bd0a7._.js (Script) 200
[31803.484] GET http://localhost:81/_next/static/chunks/node_modules_motion-dom_dist_es_c5d9af39._.js (Script) 200
[31803.485] GET http://localhost:81/_next/static/chunks/node_modules_axios_lib_abd7c0de._.js (Script) 200
[31803.486] GET http://localhost:81/_next/static/chunks/node_modules_lucide-react_dist_esm_icons_f7c7cf1a._.js (Script) 200
[31803.487] GET http://localhost:81/_next/static/chunks/node_modules_date-fns_3a62c682._.js (Script) 200
[31803.488] GET http://localhost:81/_next/static/chunks/node_modules_lodash_0ce7be08._.js (Script) 200
[31803.489] GET http://localhost:81/_next/static/chunks/node_modules_recharts_es6_7c3861d6._.js (Script) 200
[31803.490] GET http://localhost:81/_next/static/chunks/node_modules_react-day-picker_dist_esm_2bc2ad0e._.js (Script) 200
[31803.491] GET http://localhost:81/_next/static/chunks/node_modules_%40radix-ui_b7a8b3a6._.js (Script) 200
[31803.492] GET http://localhost:81/_next/static/chunks/node_modules_%40floating-ui_1b6e7b6d._.js (Script) 200
[31803.493] GET http://localhost:81/_next/static/chunks/node_modules_75e24554._.js (Script) 200
[31803.494] GET http://localhost:81/_next/static/chunks/src_app_page_tsx_8533e121._.js (Script) 200
[31803.549] GET http://localhost:81/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js (Script) 200
[31803.550] GET http://localhost:81/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js (Script) 200
[31803.558] GET http://localhost:81/favicon.ico (Other) 404
[31803.559] GET http://localhost:81/api/auth/me (XHR) 401
[31803.556] GET http://localhost:81/__nextjs_font/geist-latin.woff2 (Font) 200
[31803.560] POST http://localhost:81/api/auth/login (XHR) 200
[31803.561] GET http://localhost:81/api/auth/me (XHR) 200
